Classifier,Accuracy (%),TPR,TNR,FPR,FNR,Precision,F1-Score,AUC-ROC,TP,TN,FP,FN,Train Time (s),Paper Acc (%),Paper TPR,Paper FPR,Paper AUC
Naive Bayes,79.2967,0.87,0.792,0.208,0.13,0.032,0.062,0.831,100,11490,3011,15,4.2,80.9836,0.781,0.142,N/A
kNN,99.7947,0.783,1.0,0.0,0.217,0.947,0.857,0.921,90,14496,5,25,8.5,96.0656,0.979,0.071,N/A
SVM,99.5758,0.835,0.997,0.003,0.165,0.691,0.756,0.921,96,14458,43,19,401.9,97.0492,0.995,0.071,0.979
Random Forest,99.6648,0.835,0.998,0.002,0.165,0.762,0.797,0.961,96,14471,30,19,30.5,96.3934,0.984,0.071,N/A
J48 (Decision Tree),99.5484,0.835,0.997,0.003,0.165,0.671,0.744,0.922,96,14454,47,19,11.9,94.7541,0.979,0.106,N/A
